name,type,degree
Atlas Shrugged Part III: Who is John Galt?,电影,17
Party Monster,电影,17
Lone Wolf McQuade,电影,17
The Singles Ward,电影,17
The Good Guy,电影,17
All the Boys Love Mandy Lane,电影,17
Donkey Punch,电影,17
X-Men Origins: Wolverine,电影,17
Ratatouille,电影,17
The Muppets,电影,17
The Lego Movie,电影,17
Hocus Pocus,电影,17
I Am Legend,电影,17
The Roommate,电影,17
See Spot Run,电影,17
The Client,电影,17
The Princess Diaries 2: Royal Engagement,电影,17
Moonrise Kingdom,电影,17
High Road,电影,17
Madagascar,电影,17
Hairspray,电影,17
Ice Age: The Meltdown,电影,17
Across the Universe,电影,17
Public Enemies,电影,17
Buried,电影,17
Nicholas Nickleby,电影,17
Malone,电影,17
Bee Movie,电影,17
G-Force,电影,17
Flushed Away,电影,17
Matthew Broderick,演员,17
American Dreamz,电影,17
Back to the Future Part II,电影,17
Burnt,电影,17
Big Trouble in Little China,电影,17
The Boxtrolls,电影,17
My Favorite Martian,电影,17
Edge of Darkness,电影,17
Jeff Daniels,演员,17
Terminator 2: Judgment Day,电影,17
We Have Your Husband,电影,17
Fascination,电影,17
Michael Collins,电影,17
What Dreams May Come,电影,17
Along Came a Spider,电影,17
Straight Outta Compton,电影,17
Frost/Nixon,电影,17
Rose Byrne,演员,17
The Hunger Games: Mockingjay - Part 2,电影,17
One Direction: This Is Us,电影,17
The Flintstones,电影,17
Hotel Rwanda,电影,17
The Prince of Egypt,电影,17
The Bourne Identity,电影,17
Two Evil Eyes,电影,17
Hamlet 2,电影,17
Men in Black II,电影,17
Little Nicky,电影,17
The Brothers Grimm,电影,17
Ironclad,电影,17
The Awakening,电影,17
The Quiet American,电影,17
21 Grams,电影,17
The Ant Bully,电影,17
The Quiet,电影,17
Ray Liotta,演员,17
Crocodile Dundee,电影,17
Atlas Shrugged Part II,电影,17
The X Files: I Want to Believe,电影,17
Dirty Pretty Things,电影,17
Body Double,电影,17
The Best Offer,电影,17
Without Limits,电影,17
Prefontaine,电影,17
